,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
EVIL,EvilCoin,X11,TRUE,PoW/PoS,,21024000
COX,CobraCoin,Scrypt,TRUE,PoW/PoS,,1012941176
BSD,BitSend,X11,TRUE,PoW/PoS,24387724.5,139000000
DES,Destiny,Scrypt,TRUE,PoW/PoS,,212625
BIT16,16BitCoin,NIST5,TRUE,PoW/PoS,0,16000000
CMTC,CometCoin,Scrypt,TRUE,PoW,,2000000
CHESS,ChessCoin,Scrypt,TRUE,PoW/PoS,0,74666667
REE,ReeCoin,Scrypt,TRUE,PoW/PoS,0,350000000
MARV,Marvelous,Scrypt,TRUE,PoW,,400000000
OMNI,Omni,Scrypt,TRUE,PoW,616448,616448
TRTK,TrollTokens,SHA-256,FALSE,PoW/PoS,,860000000
LIR,Let it Ride,POS 3.0,TRUE,PoS,38589808.67,33500000
SCRPT,ScryptCoin,Scrypt,TRUE,PoW,,34181818
SPCIE,Specie,PoS,TRUE,PoS,,9000000
CJ,CryptoJacks,X13,TRUE,PoW/PoS,,500000000
PUT,PutinCoin,Scrypt,TRUE,PoW/PoS,813092338.6,2000000000
KRAK,Kraken,SHA-256,TRUE,PoW/PoS,,20 000 000
IBANK,iBankCoin,Scrypt,TRUE,PoW/PoS,4526324,44333333
WRLGC,World Gold Coin,SHA-256,FALSE,PoW,,51000000
BM,BitMoon,X13,TRUE,PoS,,100000000
FRWC,Frankywillcoin,Scrypt,TRUE,PoW/PoS,100000000,100000000
PSY,Psilocybin,SHA-256D,TRUE,PoW/PoS,,4214600
RUST,RustCoin,Scrypt,TRUE,PoW/PoS,,21212121
NZC,NewZealandCoin,Scrypt,TRUE,PoW,,335800000
XPOKE,PokeChain,X13,TRUE,PoS,,75000000
MUDRA,MudraCoin,X13,TRUE,PoS,5000000,200000000
PIZZA,PizzaCoin,X11,TRUE,PoW,1377917,25000000
LC,Lutetium Coin,X11,TRUE,PoS,657000000,657000000
EXB,ExaByte (EXB),SHA-256,TRUE,PoW,,500000000
KMD,Komodo,Equihash,TRUE,dPoW/PoW,115898131,200000000
GB,GoldBlocks,X11,TRUE,PoW/PoS,15563873,50000000
EDC,EDC Blockchain,SHA-256,TRUE,DPoS/LPoS,,5352058722
WAY,WayCoin,X11,TRUE,PoS,0,100000000
TAB,MollyCoin,Scrypt,TRUE,PoW/PoS,,25000000
STO,Save The Ocean,X11,TRUE,PoW/PoS,,150000000
CTC,CarterCoin,Scrypt,TRUE,PoW/PoS,43165500,90000000
TOT,TotCoin,Scrypt,TRUE,PoW/PoS,,1613150000
MDC,MedicCoin,Scrypt,TRUE,PoW/PoS,,33000000
FTP,FuturePoints,X11,TRUE,PoS,,360000000
ZET2,Zeta2Coin,Quark,TRUE,PoW/PoS,,1200000
CVNC,CovenCoin,SHA-256,TRUE,PoW/PoS,,33000
KRB,Karbo,CryptoNight,TRUE,PoW,7822432.724,10000000
TELL,Tellurion,X11,TRUE,PoW/PoS,,3652422000
BXT,BitTokens,SHA-256,TRUE,PoW/PoS,595429,21000000
ZYD,ZayedCoin,SHA-256,TRUE,PoW,6243840,9736000
MST,MustangCoin,X11,TRUE,PoW/PoS,657636.3455,3000000
GOON,Goonies,Scrypt,TRUE,PoW,,270875968
ZNE,ZoneCoin,Scrypt,TRUE,PoW/PoS,2581970,21000000
COVAL,Circuits of Value,Multiple,TRUE,PoW,1000000000,1200000000
DGDC,DarkGold,X13,TRUE,PoW/PoS,,1000000
TODAY,TodayCoin,Scrypt,TRUE,PoW,,39200000
ROOT,RootCoin,Scrypt,TRUE,PoW/PoS,1939889,0
DOPE,DopeCoin,Scrypt,TRUE,PoW,116845228,200000000
FX,FCoin,Scrypt,TRUE,PoW/PoS,,987600000
PIO,Pioneershares,X11,TRUE,PoW/PoS,,200000
PROUD,PROUD Money,X11,TRUE,PoW/PoS,0,10000000000
SMSR,Samsara Coin,QuBit,TRUE,PoW/PoS,,60000000
UBIQ,Ubiqoin,Progressive-n,TRUE,PoS,,500000000
ARM,Armory Coin,Scrypt,TRUE,PoW/PoS,,1990000000
RING,RingCoin,Scrypt,TRUE,PoW/PoS,,1900000000
LAZ,Lazarus,DPoS,TRUE,DPoS,,10000000
BTCR,BitCurrency,Scrypt,TRUE,PoS,169598616,0
FCTC,FaucetCoin,X13,FALSE,PoS,,10000
MOOND,Dark Moon,Scrypt,TRUE,PoW/PoS,,420000000
DLC,DollarCoin,SHA-256,TRUE,PoW,9106714,10638298
SCN,Swiscoin,Scrypt,TRUE,PoW/PoW,665200057,3100000000
BRONZ,BitBronze,Scrypt,TRUE,PoW,,4502400
SH,Shilling,Scrypt,TRUE,PoW,11119200,30000000
BUZZ,BuzzCoin,SHA-256D,TRUE,PoW/PoS,19577787259,20000000000
MG,Mind Gene,SHA-256,TRUE,PoW/PoS,,7500000000
PSI,PSIcoin,X11,TRUE,PoS,,696969
XPO,Opair,PoS,TRUE,PoS,74033806.79,74000000
PSB,PesoBit,Scrypt,TRUE,PoW/PoS,33522957,0
FIT,Fitcoin,X11,TRUE,PoW/PoS,,90000000
PINKX,PantherCoin,Scrypt,TRUE,PoW/PoS,,735000000
UNF,Unfed Coin,Scrypt,TRUE,PoW,,67000000
SPORT,SportsCoin,X11,TRUE,PoS,,20000000
NTC,NineElevenTruthCoin,Scrypt,TRUE,PoW/PoS,,130528084
EGO,EGOcoin,PoS,TRUE,PoS,,60000000
GBRC,GBR Coin,Scrypt,TRUE,PoW,0,87500000
HALLO,Halloween Coin,X11,TRUE,PoW/PoS,264678458.3,1500000000
BBCC,BaseballCardCoin,Scrypt,TRUE,PoW/PoS,,19000000
EMIGR,EmiratesGoldCoin,SHA-256,FALSE,PoW,,4000000
BHC,BighanCoin,Quark,TRUE,PoW,,411000000
CRAFT,Craftcoin,Scrypt,TRUE,PoW/PoS,,49411760
OLYMP,OlympCoin,X11,TRUE,PoW/PoS,,50000000
DPAY,DelightPay,X13,TRUE,PoW/PoS,,90400000
ANTC,AntiLitecoin,Scrypt,FALSE,PoW,,84000000
JOBS,JobsCoin,X11,TRUE,PoW/PoS,,20000000000
DGORE,DogeGoreCoin,X11,TRUE,PoW/PoS,,500000000
RMS,Resumeo Shares,NIST5,TRUE,PoS,,9188302
FJC,FujiCoin,Scrypt-n,TRUE,PoW,0,10000000
VAPOR,Vaporcoin,SHA-256,TRUE,PoW/PoS,,2000000
XZC,ZCoin,Lyra2Z,TRUE,PoW,7568281.25,21400000
PRE,Premium,Scrypt,TRUE,PoW,,20000000
CALC,CaliphCoin,SHA-256,TRUE,PoW,,135000000
LEA,LeaCoin,SHA-256,TRUE,PoW,0,2000000000
CF,Californium,SHA-256,TRUE,PoW,,2520000
CFC,CoffeeCoin,PoS,TRUE,PoS,148716816,39999898
BS,BlackShadowCoin,X11,TRUE,PoW/PoS,,2100000000
JIF,JiffyCoin,SHA-256D,TRUE,PoW,,5108400
MONETA,Moneta,Scrypt,TRUE,PoW,,184000000
RUBIT,Rublebit,Scrypt,TRUE,PoW,,100000000
HCC,HappyCreatorCoin ,Scrypt,TRUE,PoW,,1.00E+11
BRAIN,BrainCoin,X11,TRUE,PoW/PoS,,22000000
ROYAL,RoyalCoin,X13,TRUE,PoS,2500124,2500124
LFC,BigLifeCoin,X11,TRUE,PoW,,9900000000
ZUR,Zurcoin,Quark,TRUE,PoW,0,126000000
PEC,PeaceCoin,X11,TRUE,PoW,,700000000
GMX,Goldmaxcoin,Scrypt,TRUE,PoW,,84078950
32BIT,32Bitcoin,X11,TRUE,PoW/PoS,,355000
GNJ,GanjaCoin V2,X14,TRUE,PoW/PoS,100000000,100000000
TEAM,TeamUP,PoS,TRUE,PoS,17818682.17,301000000
SCT,ScryptToken,Scrypt,TRUE,PoW/PoS,,8842105
LANA,LanaCoin,SHA-256D,TRUE,PoW/PoS,1082162636,7506000000
ELE,Elementrem,Ethash,TRUE,PoW,26205539,26205539
GCC,GuccioneCoin,Scrypt,TRUE,PoW,,39760000
EQUAL,EqualCoin,X13,TRUE,PoW/PoS,,1000000000
2BACCO,2BACCO Coin,Scrypt,TRUE,PoW/PoS,,81454545
DKC,DarkKnightCoin,Scrypt,TRUE,PoW/PoS,,24000000
COC,Community Coin,SHA-256,TRUE,PoW,,36129032
CHOOF,ChoofCoin,Scrypt,TRUE,PoW/PoS,,40000000
CSH,CashOut,SHA-256,TRUE,PoW,0,100000000
ZCL,ZClassic,Equihash,TRUE,PoW,5613550,21000000
RYCN,RoyalCoin 2.0,X13,TRUE,PoS,,2500124
PCS,Pabyosi Coin,X11,TRUE,PoW/PoS,,31500000000
NBIT,NetBit,Scrypt,TRUE,PoW/PoS,,10.500.000
WINE,WineCoin,Scrypt,TRUE,PoW/PoS,,1744000000
ARK,ARK,DPoS,TRUE,DPoS,108202084,125000000
ZECD,ZCashDarkCoin,Scrypt,TRUE,PoW,,500000000
WASH,WashingtonCoin,X11,TRUE,PoW/PoS,,170000000
LUCKY,LuckyBlocks,PoS,TRUE,PoS,,20000000
INSANE,InsaneCoin,X11,TRUE,PoW/PoS,18342813,30000000
BASH,LuckChain,Scrypt,TRUE,PoW/PoS,0,1000000000
FAME,FameCoin,QuBit,TRUE,PoW/PoS,,50000000
LIV,LiviaCoin,Scrypt,TRUE,PoW/PoS,,1572000000
DOGETH,EtherDoge,X11,TRUE,PoW/PoS,,18100000
KLC,KiloCoin,Scrypt,TRUE,PoW,196297971,10000000000
HUSH,Hush,Equihash,TRUE,PoW,0,21000000
BTLC,BitLuckCoin,PoS,TRUE,PoS,,5000000000
DRM8,Dream8Coin,Scrypt,TRUE,PoW,,88800000000
EBZ,Ebitz,PoS,FALSE,PoS,,21000000
FGZ,Free Game Zone,Scrypt,TRUE,PoW,,44775520
BOSON,BosonCoin,X11,TRUE,PoW/PoS,,5000000000
ATX,ArtexCoin,X11,TRUE,PoW,824000000,500000000
PNC,PlatiniumCoin,SHA-256,TRUE,PoW,,21000000
BRDD,BeardDollars,Scrypt,TRUE,PoW/PoS,,21212121
BIPC,BipCoin,CryptoNight,TRUE,PoW,,18446744
XNC,XenCoin,Scrypt,TRUE,PoW,,2100000000
EMB,EmberCoin,X13,TRUE,PoW/PoS,92192822723,850000000
BTTF,Coin to the Future,PoS,TRUE,PoS,,1210000
DLR,DollarOnline,X11,TRUE,PoW/PoS,,1000000000
XEN,XenixCoin,X11,TRUE,PoW/PoS,3853326.777,3853326.777
IW,iWallet,X11,TRUE,PoW/PoS,,2142857143
FRE,FreeCoin,PoS,TRUE,PoS,50000000,50000000
NPC,NPCcoin,SHA-256D,TRUE,PoW/PoS,0,7000000000
PLNC,PLNCoin,Scrypt,TRUE,PoW/PoS,17089600,38540000
DGMS,Digigems,Scrypt,TRUE,PoW,,50000000
ICOB,Icobid,Scrypt,TRUE,PoW/PoS,0,200000000
ARCO,AquariusCoin,Scrypt,TRUE,PoW/PoS,2449577.415,42000000
KURT,Kurrent,X11,TRUE,PoW,61364813,228000000
XCRE,Creatio,PoS,TRUE,PoS,20000000,20000000
ENT,Eternity,X11,TRUE,PoW/PoS,6069482.077,60000000
MTLM3,Metal Music v3,Scrypt,FALSE,PoW/PoS,,2500000000
ODNT,Old Dogs New Tricks,SHA-256D,TRUE,PoW/PoS,,21000000
EUC,Eurocoin,SHA-256,TRUE,PoW/PoS,12416554,20000000
CCX,CoolDarkCoin,Scrypt,TRUE,PoW/PoS,,11052632
BCF,BitcoinFast,Scrypt,TRUE,PoW/PoS,20244023.64,33000000
SEEDS,SeedShares,SHA-256D,TRUE,PoW/PoS,,7996400
XSN,Stakenet,X11,TRUE,TPoS,75590369,76500000
BCCOIN,BitConnect Coin,Scrypt,TRUE,PoW/PoS,11080722.38,28000000
SHORTY,ShortyCoin,PoS,TRUE,PoS,,100000000
PCM,Procom,Scrypt,TRUE,PoW,,28000000
CORAL,CoralPay,X13,TRUE,PoS,,21000000
MONEY,MoneyCoin,Scrypt,TRUE,PoW/PoS,10914418,650659833
HSP,Horse Power,Scrypt,TRUE,PoW,,2900000
HZT,HazMatCoin,Scrypt,TRUE,PoW/PoS,,100000000
CRSP,CryptoSpots,DPoS,TRUE,DPoS,,0
ICON,Iconic,PoS,TRUE,PoS,,520000
NIC,NewInvestCoin,PoS,TRUE,PoS,,47090909
ACN,AvonCoin,PoS,TRUE,PoS,,1000000000
XNG,Enigma,X11,TRUE,PoW/PoS,814671,5000000
XCI,Cannabis Industry Coin,CryptoNight,TRUE,PoW,978145,21000000
LOOK,LookCoin,X11,TRUE,PoW/PoS,,1613150000
MIS,MIScoin,X11,TRUE,PoW/PoS,,25000000
WOP,WorldPay,X11,TRUE,PoW/PoS,,10000000
CQST,ConquestCoin,X13,TRUE,PoW/PoS,,30000000
CHIEF,TheChiefCoin,Scrypt,TRUE,PoW/PoS,,2500000000
RC,Russiacoin,Scrypt,TRUE,PoW/PoS,8377873,144000000
PND,PandaCoin,Scrypt,TRUE,PoS,33813143822,32514916898
ECAD,Canada eCoin,Scrypt,TRUE,PoW,,100000000
OPTION,OptionCoin,X11,TRUE,PoS,,21000000
AV,Avatar Coin,PoS,TRUE,PoS,,10000000
LTD,Limited Coin,PoS,TRUE,PoS,,128
UNITS,GameUnits,Scrypt,TRUE,PoW/PoS,3472983,13000000
GAKH,GAKHcoin,Scrypt,TRUE,PoW/PoS,3315789,3315789
S8C,S88 Coin,Scrypt,TRUE,PoW/PoS,,520000000
ASAFE2,Allsafe,Quark,TRUE,PoS,10517772.74,15000000
LTCR,LiteCreed,QuBit,TRUE,PoW/PoS,30227750,78835200
XPRO,ProCoin,X15,TRUE,PoW/PoS,,6000000
ASTR,Astral,X13,TRUE,PoW/PoS,,37875500
GIFT,GiftNet,X13,TRUE,PoW,,6750000
VIDZ,PureVidz,PoS,TRUE,PoS,,125000000
INC,Incrementum,PoS,TRUE,PoS,,1300000
PTA,PentaCoin,SHA-256,TRUE,PoW/PoS,,1311955
ACID,AcidCoin,SHA-256,TRUE,PoW,,4500000000
RNC,ReturnCoin,X11,TRUE,PoS,,250000000
TWIST,TwisterCoin,X11,TRUE,PoW/PoS,,3195000
PAYP,PayPeer,X11,TRUE,PoW/PoS,,50000000000
LENIN,LeninCoin,SHA-256D,TRUE,PoW,,100000000
MRSA,MrsaCoin,X13,TRUE,PoW/PoS,,2100000000
OS76,OsmiumCoin,Scrypt,TRUE,PoW,894026,2714286
BIC,Bikercoins,CryptoNight,TRUE,PoW,9357088,25000000
CRPS,CryptoPennies,X11,TRUE,PoS,,1593.15
NTCC,NeptuneClassic,X11,TRUE,PoW/PoS,0,250000000
HXX,HexxCoin,Lyra2RE,TRUE,PoW,1876146.444,9999999
SPKTR,Ghost Coin,SHA-256,TRUE,PoW/PoS,,2270000
MAC,MachineCoin,Time Travel,TRUE,PoW,,35000000
SEL,SelenCoin,PoS,TRUE,PoS,,159680000
NOO,Noocoin,PoS,TRUE,PoS,,25000000
CHAO,23 Skidoo,SHA-256D,TRUE,PoW,,23
XGB,GoldenBird,X13,TRUE,PoW/PoS,0,450000000
YMC,YamahaCoin,Scrypt,TRUE,PoW,,315000000
JOK,JokerCoin,Scrypt,TRUE,PoW/PoS,,5000000000
GBIT,GravityBit,Scrypt,TRUE,PoW/PoS,,5333000
TEC,TeCoin,Multiple,TRUE,PoW,,469521976
BOMBC,BombCoin,Scrypt,TRUE,PoW/PoS,,4516129032
RIDE,Ride My Car,PoS,TRUE,PoS,0,100000000
KED,Klingon Empire Darsek,Scrypt,TRUE,PoW/PoS,23965372,500000000
IOP,Internet of People,SHA-256,TRUE,PoW/PoS,2526078.475,21000000
ELS,Elysium,Scrypt,TRUE,PoW,,18000000
KUSH,KushCoin,X11,TRUE,PoW/PoS,5659096.957,9354000
ERY,Eryllium,X11,TRUE,PoW/PoS,0,100000000
OPES,Opes,Argon2,TRUE,PoW,,52000000
RATIO,Ratio,PoS,TRUE,PoS,,100000000
SMF,SmurfCoin,Scrypt,TRUE,PoW/PoS,,2500000000
TECH,TechCoin,X13,TRUE,PoW/PoS,,300000
CIR,CircuitCoin,SHA-256D,TRUE,PoW/PoS,,3125000000
LEPEN,LePenCoin,SHA-256,TRUE,PoS,,1000000000
MARX,MarxCoin,X11,TRUE,PoW,0,100640000
HAZE,HazeCoin,Scrypt,TRUE,PoW,,25000000
PRX,Printerium,Scrypt,TRUE,PoW/PoS,11821728,20000000
PAC,PacCoin,X11,TRUE,PoW,536982074,1.00E+11
IMPCH,Impeach,Scrypt,TRUE,PoW/PoS,308179,21933333
ERR,ErrorCoin,Scrypt,TRUE,PoW,,81000000
TIC,TrueInvestmentCoin,Scrypt,TRUE,PoW/PoS,,53200000
NUKE,NukeCoin,PoS,TRUE,PoS,,2778196
SFC,Solarflarecoin,Scrypt,TRUE,PoW,0,20000000
JANE,JaneCoin,X11,TRUE,PoW/PoS,,2100000000
PARA,ParanoiaCoin,Scrypt,TRUE,PoW,,72000000
MM,MasterMint,X11,TRUE,PoS,,1500000000
CTL,Citadel,CryptoNight-V7,TRUE,PoW,10969318.52,185000000
ZBC,Zilbercoin,Scrypt,TRUE,PoS,2922613.964,55000000
FRST,FirstCoin,Scrypt,TRUE,PoW/PoS ,110000000,110000000
ORO,OroCoin,Scrypt,TRUE,PoW,,23529412
ALEX,Alexandrite,SHA-256,TRUE,PoW/PoS,,1268000
TBCX,TrashBurn,SHA-256D,TRUE,PoS,,9000000
MCAR,MasterCar,Scrypt,TRUE,PoW/PoS,,2991837
THS,TechShares,DPoS,TRUE,DPoS,,600000000
ACES,AcesCoin,X13,TRUE,PoS,,100000000
UAEC,United Arab Emirates Coin,X11,FALSE,PoW/PoS,,10000000
EA,EagleCoin,SHA-256,TRUE,PoW,,40000000
CREA,CreativeChain,Keccak,TRUE,PoW,0,115000000
BVC,BeaverCoin,Scrypt,TRUE,PoW,3115258,3360000
FIND,FindCoin,X13,TRUE,PoS,14524851.48,14524851.48
MLITE,MeLite,SHA-256D,TRUE,PoW/PoS,,1.000.000
STALIN,StalinCoin,X11,TRUE,PoW/PoS,,3000000000
TSE,TattooCoin,Scrypt,TRUE,PoW/PoS,,500000000
VLTC,VaultCoin,X11,TRUE,PoW,30385540,1000000000
BIOB,BioBar,SHA-256D,TRUE,PoW/PoS,,60000000
ZER,Zero,Equihash,TRUE,PoW,6921653.9,17000000
CHAT,OpenChat,Scrypt,TRUE,PoW/PoS,1000000000,1000000000
CDN,Canada eCoin,Scrypt,TRUE,PoW,99843408.32,100000000
ZOI,Zoin,Lyra2RE,TRUE,PoW,18545757.5,21000000
HONEY,Honey,Blake2S,TRUE,PoW/PoS,,7000000
MXT,MartexCoin,X13,TRUE, PoW/PoS,,5000000
MUSIC,Musicoin,Ethash,TRUE,PoW,0,454898394
VEG,BitVegan,PoS,TRUE,PoS,,600000000
MBIT,Mbitbooks,Scrypt,TRUE,PoW,,81000000
ZENI,Zennies,Scrypt,TRUE,PoS,,1000000000
PLANET,PlanetCoin,Scrypt,TRUE,PoW/PoS,,1000000
DUCK,DuckDuckCoin,Scrypt,TRUE,PoW,,121
BNX,BnrtxCoin,X11,TRUE,PoW,0,210000000
RNS,RenosCoin,Scrypt,TRUE,PoS,36050365,34426423
DBIX,DubaiCoin,Dagger-Hashimoto,TRUE,PoW,2232901,2232901
XVP,VirtacoinPlus,X11,TRUE,PoW/PoS,13162749.09,100000000
BOAT,Doubloon,536,TRUE,PoW/PoS,,500000000
TAJ,TajCoin,Blake2S,TRUE,PoW/PoS,12184195.93,36900000
IMX,Impact,X11,TRUE,PoW/PoS,110630387.9,110000000
CJC,CryptoJournal,PoS,TRUE,PoS,,100000000
AMY,Amygws,Scrypt,TRUE,PoW,,23333333
QBT,Cubits,SHA-256,TRUE,PoW/PoS,,300000000
EB3,EB3coin,Scrypt,TRUE,PoW,64096052,4000000000
XVE,The Vegan Initiative,PoS,TRUE,PoS,,50000000
APT,Aptcoin,Scrypt-n,TRUE,PoW,,42000000
BLAZR,BlazerCoin,Scrypt,TRUE,PoW,,294336000
UNI,Universe,Scrypt,TRUE,PoS,0,112000000
ECOC,ECOcoin,Scrypt,TRUE,PoW/PoS,,10733333
DARK,Dark,SHA-256,TRUE,PoW/PoS,,12800000
DON,DonationCoin,Scrypt,TRUE,PoW,,90000000
ATMOS,Atmos,PoS,TRUE,PoS,111135836.9,110290030
HPC,HappyCoin,X11,TRUE,PoW/PoS,21521322.01,100000000
CXT,Coinonat,NIST5,TRUE,PoW,10123200,48252000
MCRN,MacronCoin,PoS,TRUE,PoS,401421401,400000000
RAIN,Condensate,X11,TRUE,PoW/PoS,121665451.6,500000000
IEC,IvugeoEvolutionCoin,Scrypt,TRUE,PoW,,100000000
IMS,Independent Money System,Scrypt,TRUE,PoW/PoS,5368934,21212121
ARGUS,ArgusCoin,Scrypt,TRUE,PoW/PoS,1148324,28600000
LMC,LomoCoin,Scrypt,TRUE,PoW/PoS,500000,1000000000
BTCS,Bitcoin Scrypt,Scrypt,TRUE,PoW,0,21000000
PROC,ProCurrency,SHA-256,TRUE,PoS,100545745,75000000000
XGR,GoldReserve,X11,TRUE,PoW/PoS,17171382,40000000
BENJI,BenjiRolls,Scrypt,TRUE,PoW,20276099.15,35520400
DUO,ParallelCoin,Scrypt,TRUE,PoW,0,1000000
GRW,GrowthCoin,Scrypt,TRUE,PoS,295135466.4,2000000000
ILC,ILCoin,SHA-256,TRUE,PoW,1317747500,2500000000
PZM,Prizm,SHA-256,TRUE,PoS,,6.00E+14
PHR,Phreak,PoS,TRUE,PoS,11390225.97,30000000
PUPA,PupaCoin,Blake2S,TRUE,PoW/PoS,,3500000000
RICE,RiceCoin,X13,TRUE,PoW/PoS,,10000000
XCT,C-Bits,SHA-256,TRUE,PoW,,210000000
DEA,Degas Coin,Scrypt,TRUE,PoW/PoS,21358764,105000000
ZSE,ZSEcoin,X11,TRUE,PoW/PoS,0,2093500000
TAP,TappingCoin,X11,TRUE,PoW/PoS,,5000000000
MUU,MilkCoin,SHA-256,TRUE,PoW/PoS ,,4500000000
INF8,Infinium-8,CryptoNight,FALSE,PoW,,0
HTML5,HTML5 Coin,X15,TRUE,PoW/PoS,40659020000,90000000000
SBSC,Subscriptio,PoS,TRUE,PoS,,10000000
USC,Ultimate Secure Cash,SHA-256,TRUE,PoS,10343113,200084200
DUX,DuxCoin,Scrypt,TRUE,PoW/PoS,,1680000000
XPS,PoisonIvyCoin,Scrypt,TRUE,PoW/PoS,,4666666667
EQT,EquiTrader,Scrypt,TRUE,PoW,13673406.43,72000000
MNTC,Manet Coin,Scrypt,TRUE,PoW/PoS,,215000000
HAMS,HamsterCoin,Scrypt,TRUE,PoW,,20000000
QTUM,QTUM,POS 3.0,TRUE,PoS,100000000,100000000
NEF,NefariousCoin,Scrypt,TRUE,PoW/PoS,,4835000000
QRL,Quantum Resistant Ledger,CryptoNight-V7,TRUE,PoW,69036016.83,105000000
ESP,Espers,536,TRUE,PoW/PoS,22801882871,50000000000
DYN,Dynamic,Argon2d,TRUE,PoW,19784224.65,0
NANO,Nano,Blake2b,TRUE,PoW,133248297,340282367
CHAN,ChanCoin,Cloverhash,TRUE,PoW,18407259.09,30000000
DCY,Dinastycoin,CryptoNight,TRUE,PoW,1809467143,2000000000
DNR,Denarius,NIST5,TRUE,PoW/PoS,4171382,10000000
DP,DigitalPrice,X11,TRUE,PoW,35138975,100000000
VUC,Virta Unique Coin,NIST5,TRUE,PoW/PoS,62942075,120000000
BTPL,Bitcoin Planet,Skein,TRUE,PoW/PoS,6804362,100000000
UNIFY,Unify,Scrypt,TRUE,PoW,18133195,19276800
BRIT,BritCoin,X13,TRUE,PoW/PoS,21268092,30000000
SOCC,SocialCoin,Scrypt,TRUE,PoW,5167775,75000000
OTX,Octanox,X11,TRUE,PoW/PoS,0,7905634
ARC,ArcticCoin,X11,TRUE,PoW,26042364.37,60000000
BOG,Bogcoin,SHA-256,TRUE,PoW,,21212121
SAND,BeachCoin,X11,TRUE,PoW,,21000000
DAS,DAS,X11,TRUE,PoW,2622886,18900000
LINDA,Linda,Scrypt,TRUE,PoW/PoS,9044930943,50000000000
XLC,LeviarCoin,CryptoNight,TRUE,PoW,14161803,54000000
ONION,DeepOnion,X13,TRUE,PoW/PoS,21917018.05,18898187.62
BTX,Bitcore,Time Travel,TRUE,PoW,17801865.16,21000000
GCN,gCn Coin,Scrypt,TRUE,PoW,1.63E+11,2.00E+11
SMART,SmartCash,Keccak,TRUE,PoW,2241009149,5000000000
SIGT,Signatum,SkunkHash v2 Raptor,TRUE,PoS,107972766,137500000
ONX,Onix,X11,TRUE,PoW,122475638.4,1100000000
WINK,Wink,PoS,TRUE,PoS,,80000000
CRM,Cream,Skein,TRUE,PoW/PoS,47331802.48,100000000
BCH,Bitcoin Cash,SHA-256,TRUE,PoW,17995589.65,21000000
BMXT,Bitmxittz,Scrypt,FALSE,PoW/PoS,,10000
XMCC,Monoeci,X11,TRUE,PoW/PoS,12569262.54,9507271
CMPCO,CampusCoin,Scrypt,TRUE,PoW,0,1010000000
DFT,Draftcoin,Scrypt,TRUE,PoS,18663297.35,17405891.2
VET,Vechain,VeChainThor Authority,TRUE,Proof of Authority,55454734800,86712634466
SOJ,Sojourn Coin,Scrypt,TRUE,PoW,485214,10500000000
STCN,Stakecoin,PoS,TRUE,PoS,4000000,61599965
NYC,NewYorkCoin,Scrypt,TRUE,PoW,1.43E+11,0
LBTC,LiteBitcoin,Scrypt,TRUE,PoW,0,1000000000
FRAZ,FrazCoin,Scrypt,TRUE,PoW,9704042,20000000
KRONE,Kronecoin,Scrypt,TRUE,PoW,17453749.4,84000000
ACC,AdCoin,Scrypt,TRUE,PoW,32646731.06,100000000
LINX,Linx,Scrypt,TRUE,PoW,33716526,100000000
XCXT,CoinonatX,Scrypt,TRUE,PoW/PoS,19539588,48252000
BLAS,BlakeStar,Blake2S,TRUE,PoW/PoS,,2400000000
ETHD,Ethereum Dark,Scrypt,TRUE,PoW/PoS,4200000,4200000
SUMO,Sumokoin,CryptoNight,TRUE,PoW,8946653,88888888
ODN,Obsidian,SHA-512,TRUE,PoS,25000000,91388946
ADA,Cardano,Ouroboros,TRUE,PoS,25927070538,45000000000
REC,Regalcoin,X11,TRUE,PoW/PoS,7262402.043,27000000
BTCZ,BitcoinZ,Equihash,TRUE,PoW,5211553258,21000000000
NTM,NetM,Scrypt,TRUE,PoW,,1.01E+11
TZC,TrezarCoin,NeoScrypt,TRUE,PoW/PoS,182638400,400000000
ELM,Elements,X11,TRUE,PoW,2702855669,1800000000
TER,TerraNovaCoin,Scrypt,TRUE,PoW/PoS,1140734.917,15733333
VIVO,VIVO Coin,NeoScrypt,TRUE,PoW,4165967.575,27000000
RGC,RG Coin,NIST5,TRUE,PoW/PoS,,300000000
RUP,Rupee,Lyra2REv2,TRUE,PoS,24000000,24000000
BTG,Bitcoin Gold,Equihash,TRUE,PoW,17202361.09,21000000
WOMEN,WomenCoin,Scrypt,TRUE,PoW/PoS,48459472454,25000000000
MAY,Theresa May Coin,SHA-256,TRUE,PoW/PoS,92050800,100000000
EDDIE,Eddie coin,Scrypt,TRUE,PoW/PoS,,1000000000
NAMO,NamoCoin,NIST5,TRUE,PoW/PoS,560563220,1200000000
LUX,LUXCoin,PHI1612,TRUE,PoW/PoS,8305775.318,60000000
PIRL,Pirl,Dagger,TRUE,PoW,33986980,156306732.7
XIOS,Xios,Scrypt,TRUE,PoW/PoS,2149688,21000000
BTDX,Bitcloud 2.0,Quark,TRUE,PoW/PoS,30711550.53,200000000
EBST,eBoost,Scrypt,TRUE,PoW,99990001.49,100000000
KEK,KekCoin,POS 2.0,TRUE,PoS,12330806.31,21000000
BLHC,BlackholeCoin,Scrypt,TRUE,PoW/PoS,16362544.99,14788275.99
